demand_node_index,truck_node_index,distance,scaled_demand
demand2,truck3,214.1894677350949,21
demand2,truck5,354.4355851990245,0
demand2,truck12,74.73390674302166,50
demand2,truck13,234.88908404975282,16
demand2,truck14,186.66370020319573,28
demand2,truck16,270.43966913836493,7
demand2,truck17,289.32711131321645,3
demand2,truck18,326.28375500150185,0
demand2,truck19,392.9276149840903,0
demand2,truck21,316.2619902628295,0
demand2,truck23,247.09606148653955,13
demand2,truck25,408.98857148468085,0
demand2,truck27,355.8132278631459,0
demand2,truck28,414.47180939454455,0
demand2,truck30,425.3201004486709,0
demand2,truck34,469.07802378019073,0
demand2,truck35,459.8996421904717,0
demand2,truck36,482.9837096927662,0
demand2,truck37,480.15785939812326,0
demand2,truck38,384.3523700655122,0
demand2,truck41,563.2402173269559,0
demand2,truck43,593.4367886101345,0
demand2,truck50,559.9299484984059,0
demand2,truck54,345.3037822215337,0
demand2,truck44,378.458792300638,0
demand2,truck47,392.41956609022037,0
demand9,truck3,334.7839255060671,0
demand9,truck5,184.75884282333888,9
demand9,truck12,386.9532771386814,0
demand9,truck13,395.0220100905935,0
demand9,truck14,346.67332845530996,0
demand9,truck16,188.7986107679457,8
demand9,truck17,172.89106888282524,10
demand9,truck18,134.96005763991636,12
demand9,truck19,70.51638792743019,15
demand9,truck21,146.5852478871439,12
demand9,truck23,379.70734317991105,0
demand9,truck25,533.4120906668578,0
demand9,truck27,390.557635816583,0
demand9,truck28,382.47776627548706,0
demand9,truck30,287.75827042116646,1
demand9,truck34,300.4574824447375,0
demand9,truck35,344.33599652297363,0
demand9,truck36,367.4200640252681,0
demand9,truck37,448.16381627906577,0
demand9,truck38,480.6277535315377,0
demand9,truck41,530.9422790892111,0
demand9,truck43,477.2714575063013,0
demand9,truck50,656.2053319644314,0
demand9,truck54,229.74013655403567,5
demand9,truck44,262.8951466331399,3
demand9,truck47,276.8559204227223,2
demand11,truck3,291.6450169756394,2
demand11,truck5,273.7786027263489,6
demand11,truck12,210.58899337302893,20
demand11,truck13,217.75409826043241,19
demand11,truck14,169.4054166251489,29
demand11,truck16,63.718556287182246,45
demand11,truck17,82.60599846203378,45
demand11,truck18,120.46627021482777,40
demand11,truck19,187.11013019741625,25
demand11,truck21,235.6050077901539,14
demand11,truck23,228.95340850177726,16
demand11,truck25,390.8459184999185,0
demand11,truck27,265.47758133581965,8
demand11,truck28,292.1926958546955,2
demand11,truck30,219.47138436038134,18
demand11,truck34,263.2293076919011,8
demand11,truck35,254.05092610218213,10
demand11,truck36,277.13499360447656,5
demand11,truck37,357.8787458582742,0
demand11,truck38,355.54769905077427,0
demand11,truck41,440.9611037871069,0
demand11,truck43,387.5880725218448,0
demand11,truck50,531.125277483668,0
demand11,truck54,139.45506613324417,36
demand11,truck44,172.61007621234842,29
demand11,truck47,186.57085000193078,26
demand12,truck3,289.41234558822754,4
demand12,truck5,355.7862226590544,0
demand12,truck12,149.95678459615428,53
demand12,truck13,216.52407362733103,29
demand12,truck14,168.1753919920475,46
demand12,truck16,175.56956527748537,44
demand12,truck17,194.45700745233688,37
demand12,truck18,232.3172792051309,24
demand12,truck19,298.96113918771937,0
demand12,truck21,317.6126277228594,0
demand12,truck23,227.72338386867588,25
demand12,truck25,389.61589386681715,0
demand12,truck27,293.8910185703953,2
demand12,truck28,352.54960010179394,0
demand12,truck30,330.4499965877914,0
demand12,truck34,374.2079199193112,0
demand12,truck35,365.0295383295922,0
demand12,truck36,388.1136058318867,0
demand12,truck37,418.23565010537266,0
demand12,truck38,364.9796924476485,0
demand12,truck41,501.3180080342053,0
demand12,truck43,498.56668474925493,0
demand12,truck50,540.5572708805422,0
demand12,truck54,250.43367836065423,17
demand12,truck44,283.58868843975847,6
demand12,truck47,297.54946222934086,1
demand13,truck3,272.0978074726736,10
demand13,truck5,254.23139322338307,17
demand13,truck12,284.9571022083286,6
demand13,truck13,292.1222070957321,3
demand13,truck14,243.77352546044855,21
demand13,truck16,85.89880777308434,75
demand13,truck17,104.78624994793587,73
demand13,truck18,142.64652170072986,59
demand13,truck19,209.29038168331834,34
demand13,truck21,216.0577982871881,31
demand13,truck23,276.80754018504973,9
demand13,truck25,430.5122876719966,0
demand13,truck27,287.65783282172174,5
demand13,truck28,314.3729473405976,0
demand13,truck30,241.65163584628343,22
demand13,truck34,285.4095591778032,5
demand13,truck35,276.23117758808417,9
demand13,truck36,299.31524509037865,0
demand13,truck37,380.0589973441763,0
demand13,truck38,377.7279505366764,0
demand13,truck41,463.14135527300897,0
demand13,truck43,409.7683240077469,0
demand13,truck50,553.3055289695701,0
demand13,truck54,161.63531761914626,52
demand13,truck44,194.7903276982505,39
demand13,truck47,208.75110148783287,34
demand14,truck3,295.09517438095173,2
demand14,truck5,361.46905145177857,0
demand14,truck12,155.63961338887844,51
demand14,truck13,199.63489214255472,35
demand14,truck14,151.2862105072712,52
demand14,truck16,158.68038379270902,49
demand14,truck17,177.56782596756054,43
demand14,truck18,215.42809772035454,30
demand14,truck19,282.07195770294305,6
demand14,truck21,323.29545651558357,0
demand14,truck23,210.83420238389957,31
demand14,truck25,372.72671238204083,0
demand14,truck27,277.00183708561906,8
demand14,truck28,335.6604186170177,0
demand14,truck30,313.5608151030151,0
demand14,truck34,357.3187384345349,0
demand14,truck35,348.14035684481587,0
demand14,truck36,371.22442434711036,0
demand14,truck37,401.3464686205964,0
demand14,truck38,348.0905109628722,0
demand14,truck41,484.42882654942906,0
demand14,truck43,481.6775032644786,0
demand14,truck50,523.668089395766,0
demand14,truck54,233.5444968758779,23
demand14,truck44,266.69950695498216,12
demand14,truck47,280.66028074456455,7
demand15,truck3,315.91701296649063,0
demand15,truck5,395.03849593457113,0
demand15,truck12,176.46145197441737,37
demand15,truck13,155.1835606499316,43
demand15,truck14,106.83487901464807,58
demand15,truck16,263.9530502466925,11
demand15,truck17,282.840492421544,5
demand15,truck18,320.700764174338,0
demand15,truck19,387.3446241569265,0
demand15,truck21,356.86490099837613,0
demand15,truck23,167.2672402979919,40
demand15,truck25,329.1597502961331,0
demand15,truck27,275.98440667459823,7
demand15,truck28,334.64298820599686,0
demand15,truck30,418.83348155699855,0
demand15,truck34,462.59140488851835,0
demand15,truck35,453.4130232987993,0
demand15,truck36,476.4263819913187,0
demand15,truck37,400.3290382095756,0
demand15,truck38,304.5235488769645,0
