demand_node_index,truck_node_index,distance,scaled_demand
demand2,truck3,214.1894677350949,4
demand2,truck5,354.4355851990245,0
demand2,truck13,234.88908404975282,3
demand2,truck17,289.32711131321645,1
demand2,truck19,392.9276149840903,0
demand2,truck21,316.2619902628295,0
demand2,truck25,408.98857148468085,0
demand2,truck27,355.8132278631459,0
demand2,truck28,414.47180939454455,0
demand2,truck30,425.3201004486709,0
demand2,truck35,459.8996421904717,0
demand2,truck37,480.15785939812326,0
demand2,truck38,384.3523700655122,0
demand2,truck41,563.2402173269559,0
demand2,truck50,559.9299484984059,0
demand2,truck54,345.3037822215337,0
demand2,truck44,378.458792300638,0
demand2,truck47,392.41956609022037,0
demand11,truck3,291.6450169756394,1
demand11,truck5,273.7786027263489,4
demand11,truck13,217.75409826043241,12
demand11,truck17,82.60599846203378,30
demand11,truck19,187.11013019741625,17
demand11,truck21,235.6050077901539,10
demand11,truck25,390.8459184999185,0
demand11,truck27,265.47758133581965,5
demand11,truck28,292.1926958546955,1
demand11,truck30,219.47138436038134,12
demand11,truck35,254.05092610218213,7
demand11,truck37,357.8787458582742,0
demand11,truck38,355.54769905077427,0
demand11,truck41,440.9611037871069,0
demand11,truck50,531.125277483668,0
demand11,truck54,139.45506613324417,24
demand11,truck44,172.61007621234842,19
demand11,truck47,186.57085000193078,17
demand12,truck3,289.41234558822754,2
demand12,truck5,355.7862226590544,0
demand12,truck13,216.52407362733103,19
demand12,truck17,194.45700745233688,24
demand12,truck19,298.96113918771937,0
demand12,truck21,317.6126277228594,0
demand12,truck25,389.61589386681715,0
demand12,truck27,293.8910185703953,1
demand12,truck28,352.54960010179394,0
demand12,truck30,330.4499965877914,0
demand12,truck35,365.0295383295922,0
demand12,truck37,418.23565010537266,0
demand12,truck38,364.9796924476485,0
demand12,truck41,501.3180080342053,0
demand12,truck50,540.5572708805422,0
demand12,truck54,250.43367836065423,11
demand12,truck44,283.58868843975847,4
demand12,truck47,297.54946222934086,1
demand13,truck3,272.0978074726736,3
demand13,truck5,254.23139322338307,6
demand13,truck13,292.1222070957321,1
demand13,truck17,104.78624994793587,24
demand13,truck19,209.29038168331834,11
demand13,truck21,216.0577982871881,10
demand13,truck25,430.5122876719966,0
demand13,truck27,287.65783282172174,2
demand13,truck28,314.3729473405976,0
demand13,truck30,241.65163584628343,7
demand13,truck35,276.23117758808417,3
demand13,truck37,380.0589973441763,0
demand13,truck38,377.7279505366764,0
demand13,truck41,463.14135527300897,0
demand13,truck50,553.3055289695701,0
demand13,truck54,161.63531761914626,17
demand13,truck44,194.7903276982505,13
demand13,truck47,208.75110148783287,11
demand14,truck3,295.09517438095173,0
demand14,truck5,361.46905145177857,0
demand14,truck13,199.63489214255472,5
demand14,truck17,177.56782596756054,6
demand14,truck19,282.07195770294305,1
demand14,truck21,323.29545651558357,0
demand14,truck25,372.72671238204083,0
demand14,truck27,277.00183708561906,1
demand14,truck28,335.6604186170177,0
demand14,truck30,313.5608151030151,0
demand14,truck35,348.14035684481587,0
demand14,truck37,401.3464686205964,0
demand14,truck38,348.0905109628722,0
demand14,truck41,484.42882654942906,0
demand14,truck50,523.668089395766,0
demand14,truck54,233.5444968758779,3
demand14,truck44,266.69950695498216,2
demand14,truck47,280.66028074456455,1
demand18,truck3,344.14285326972936,0
demand18,truck5,380.9579352543805,0
demand18,truck13,211.85239716505956,7
demand18,truck17,189.7853309900654,8
demand18,truck19,294.2894627254479,0
demand18,truck21,342.7843403181855,0
demand18,truck25,317.13990378129864,0
demand18,truck27,221.41502848487693,6
demand18,truck28,280.07361001627555,1
demand18,truck30,257.9740065022729,3
demand18,truck35,292.5535482440737,1
demand18,truck37,345.75966001985427,0
demand18,truck38,292.5037023621301,1
demand18,truck41,428.842017948687,0
demand18,truck50,468.0812807950239,0
demand18,truck54,177.95768827513578,9
demand18,truck44,211.11269835424002,7
demand18,truck47,225.07347214382239,6
demand19,truck3,402.14514942583384,0
demand19,truck5,412.44625425845777,0
demand19,truck13,186.86943576313558,23
demand19,truck17,221.27364999414263,16
demand19,truck19,325.7777817295251,0
demand19,truck21,374.27265932226277,0
demand19,truck25,244.36504461914112,11
demand19,truck27,191.1897009976063,22
demand19,truck28,249.8482825290049,10
demand19,truck30,268.4476271286943,6
demand19,truck35,303.0271688704951,0
demand19,truck37,315.5343325325836,0
demand19,truck38,219.7288431999726,16
demand19,truck41,398.61669046141634,0
demand19,truck50,395.3064216328663,0
demand19,truck54,188.4313089015572,22
demand19,truck44,221.58631898066142,16
demand19,truck47,235.54709277024378,13
demand21,truck3,314.2106664181395,0
demand21,truck5,296.344252168849,1
demand21,truck13,292.5076050523301,1
demand21,truck17,105.17164790453386,34
demand21,truck19,209.67577963991633,16
demand21,truck21,258.170657232654,7
demand21,truck25,348.70677106063164,0
demand21,truck27,205.8523162103568,16
demand21,truck28,264.5108977417554,6
demand21,truck30,242.03703380288144,10
demand21,truck35,276.6165755446822,4
demand21,truck37,330.1969477453341,0
demand21,truck38,295.92243392531145,1
demand21,truck41,413.2793056741668,0
demand21,truck50,471.5000123582052,0
demand21,truck54,162.02071557574428,24
demand21,truck44,195.17572565484852,18
demand21,truck47,209.13649944443088,16
demand22,truck3,318.07072254400026,0
demand22,truck5,299.1331695563466,0
demand22,truck13,378.30880712852655,0
demand22,truck17,156.17786592075834,18
demand22,truck19,184.89071466043794,14
demand22,truck21,260.9595746201516,5
demand22,truck25,473.44807328100563,0
demand22,truck27,330.59361843073077,0
demand22,truck28,258.77849198039775,5
demand22,truck30,186.05718048608358,14
demand22,truck35,220.63672222788438,10
demand22,truck37,324.46454198397646,0
demand22,truck38,420.66373614568545,0
demand22,truck41,407.5468999128091,0
demand22,truck50,596.2413145785791,0
demand22,truck54,167.97364399844164,17
demand22,truck44,139.19587233805066,20
demand22,truck47,153.15664612763302,18
demand28,truck3,492.39759498840544,0
demand28,truck5,513.5032484965402,0
demand28,truck13,224.59128755617343,11
demand28,truck17,322.3306442322251,0
demand28,truck19,426.8347759676076,0
demand28,truck21,475.3296535603452,0
demand28,truck25,197.07315465818,15
demand28,truck27,115.74967532049355,28
demand28,truck28,174.40825685189216,19
demand28,truck30,316.41121009073805,0
demand28,truck35,294.06490228640246,1
demand28,truck37,240.0943068554709,9
demand28,truck38,144.28881752285986,23
demand28,truck41,323.17666478430357,0
demand28,truck50,319.86639595575355,0
demand28,truck54,289.48830313963964,2
demand28,truck44,296.43445514131736,1
demand28,truck47,283.5106757322875,2
demand29,truck3,536.3148635376392,0
demand29,truck5,523.603847355246,0
demand29,truck13,268.5085561054072,8
demand29,truck17,332.43124309093093,0
demand29,truck19,436.9353748263134,0
demand29,truck21,485.43025241905104,0
demand29,truck25,158.0329629161108,35
demand29,truck27,125.85027417919942,44
demand29,truck28,184.50885571059803,29
demand29,truck30,326.51180894944395,0
demand29,truck35,304.1655011451083,0
demand29,truck37,250.19490571417677,12
demand29,truck38,154.38941638156572,36
demand29,truck41,333.27726364300946,0
demand29,truck50,329.96699481445944,0
demand29,truck54,299.5889019983455,0
demand29,truck44,306.53505400002325,0
demand29,truck47,293.6112745909934,2
demand32,truck3,614.6159818336943,0
demand32,truck5,595.6784288460409,0
demand32,truck13,350.31531572256415,0
demand32,truck17,376.9318422147498,0
demand32,truck19,481.4359739501323,0
demand32,truck21,557.504833909846,0
demand32,truck25,288.98051313404284,0
demand32,truck27,207.6570337963564,2
demand32,truck28,165.2741979251799,3
demand32,truck30,296.752110395554,0
demand32,truck35,202.07110502835184,2
demand32,truck37,104.61126692559839,5
demand32,truck38,110.31869189263952,5
demand32,truck41,187.69362485443105,3
demand32,truck50,285.89627032553324,0
demand32,truck54,316.07816787499604,0
demand32,truck44,287.3003962146051,0
demand32,truck47,274.3766168055752,1
demand34,truck3,489.75603004884425,0
demand34,truck5,359.3617168903522,0
demand34,truck13,473.3304348747746,0
demand34,truck17,252.0718904298995,2
demand34,truck19,245.11926199444355,3
demand34,truck21,321.1881219541572,0
demand34,truck25,449.08458067056273,0
demand34,truck27,306.2301258202879,0
demand34,truck28,234.41499936995487,3
demand34,truck30,117.67869521547604,9
demand34,truck35,113.07963417695751,9
demand34,truck37,217.24131104219524,4
demand34,truck38,314.2900226465622,0
demand34,truck41,300.28760217953004,0
demand34,truck50,489.86760107945594,0
demand34,truck54,191.21821609014577,5
demand34,truck44,162.44044442975482,7
demand34,truck47,149.516665020725,8
demand40,truck3,621.5256839541549,0
demand40,truck5,478.39063459069723,0
demand40,truck13,605.1000887800857,0
demand40,truck17,383.8415443352105,0
demand40,truck19,364.14817969478855,0
demand40,truck21,440.21703965450223,0
demand40,truck25,580.8542345758735,0
demand40,truck27,437.9997797255988,0
demand40,truck28,366.18465327526576,0
demand40,truck30,249.44834912078696,10
demand40,truck35,244.84928808226843,11
demand40,truck37,309.4894376919648,0
demand40,truck38,406.53814929633177,0
demand40,truck41,232.38857638400452,14
demand40,truck50,367.1274344436646,0
demand40,truck54,322.9878699954567,0
demand40,truck44,294.21009833506577,1
demand40,truck47,281.2863189260359,4
demand41,truck3,663.3079370885999,0
demand41,truck5,644.0664889822592,0
demand41,truck13,470.4347062397025,0
demand41,truck17,425.62379746965536,0
demand41,truck19,529.8240340863505,0
demand41,truck21,605.8928940460643,0
demand41,truck25,409.09990365118114,0
demand41,truck27,285.78127963041845,1
demand41,truck28,213.96615318008543,4
demand41,truck30,345.40799885896166,0
demand41,truck35,250.72699349175952,2
demand41,truck37,153.30322218050392,7
demand41,truck38,230.4380824097779,3
demand41,truck41,75.54628098877699,10
demand41,truck50,255.42041644034944,2
demand41,truck54,364.7701231299016,0
demand41,truck44,335.99235146951065,0
demand41,truck47,323.0685720604808,0
demand45,truck3,621.6185379655412,0
demand45,truck5,608.9075217831481,0
demand45,truck13,353.8122305333094,0
demand45,truck17,417.73491751883313,0
demand45,truck19,522.2390492542156,0
demand45,truck21,570.7339268469532,0
demand45,truck25,292.4774279447881,2
demand45,truck27,211.15394860710163,20
demand45,truck28,269.8125301385002,7
demand45,truck30,402.13996005153234,0
demand45,truck35,307.45895468433014,0
demand45,truck37,209.9991165815767,20
demand45,truck38,113.81560670338476,42
demand45,truck41,204.1967199017939,22
demand45,truck50,211.36112215761474,20
demand45,truck54,384.8925764262477,0
demand45,truck44,391.83872842792545,0
demand45,truck47,378.9149490188956,0
demand51,truck3,239.2762210446532,2
demand51,truck5,221.4098067953627,2
demand51,truck13,325.95780302458144,0
demand51,truck17,103.82686181681323,5
demand51,truck19,132.53971055649282,4
demand51,truck21,183.23621185916772,3
demand51,truck25,464.34788360084593,0
demand51,truck27,321.49342875057107,0
demand51,truck28,313.41355920947495,0
demand51,truck30,240.6922477151608,1
demand51,truck35,275.2717894569615,1
demand51,truck37,379.09960921305367,0
demand51,truck38,411.56354646552575,0
demand51,truck41,462.18196714188633,0
demand51,truck50,587.1411248984194,0
demand51,truck54,160.67592948802363,3
demand51,truck44,193.83093956712787,3
demand51,truck47,207.79171335671023,2
